

order_id,order_date,product,category,quantity,price
2039,2023-02-05,Headphones,Electronics,1,39.99
2040,2023-02-05,Tea,Pantry,7,2.10
2041,2023-02-06,Notebook,Stationery,5,2.50
2042,2023-02-06,Pen,Stationery,6,0.80
2043,2023-02-07,Mouse,Electronics,1,12.99
2044,2023-02-07,USB Cable,Electronics,1,4.50
2045,2023-02-08,Coffee,Pantry,6,3.20
2046,2023-02-08,Markers,Stationery,4,1.20
2047,2023-02-09,Keyboard,Electronics,1,24.99
2048,2023-02-09,Stapler,Stationery,2,5.50
2049,2023-02-10,Headphones,Electronics,1,39.99
2050,2023-02-10,Tea,Pantry,5,2.10
2051,2023-02-11,Notebook,Stationery,3,2.50
2052,2023-02-11,Pen,Stationery,9,0.80
2053,2023-02-12,Mouse,Electronics,1,12.99
2054,2023-02-12,USB Cable,Electronics,2,4.50
2055,2023-02-13,Coffee,Pantry,3,3.20
2056,2023-02-13,Markers,Stationery,5,1.20
2057,2023-02-14,Keyboard,Electronics,1,24.99
2058,2023-02-14,Stapler,Stationery,1,5.50
2059,2023-02-15,Headphones,Electronics,1,39.99
2060,2023-02-15,Tea,Pantry,3,2.10
2061,2023-03-01,Notebook,Stationery,4,2.50
2062,2023-03-01,Pen,Stationery,8,0.80
2063,2023-03-02,Mouse,Electronics,1,12.99
2064,2023-03-02,USB Cable,Electronics,3,4.50
2065,2023-03-03,Coffee,Pantry,5,3.20
2066,2023-03-03,Markers,Stationery,2,1.20
2067,2023-03-04,Keyboard,Electronics,1,24.99
2068,2023-03-04,Stapler,Stationery,2,5.50
2069,2023-03-05,Headphones,Electronics,1,39.99
2070,2023-03-05,Tea,Pantry,6,2.10
2071,2023-03-06,Notebook,Stationery,3,2.50
2072,2023-03-06,Pen,Stationery,10,0.80
2073,2023-03-07,Mouse,Electronics,2,12.99
2074,2023-03-07,USB Cable,Electronics,1,4.50
2075,2023-03-08,Coffee,Pantry,4,3.20
2076,2023-03-08,Markers,Stationery,7,1.20
2077,2023-03-09,Keyboard,Electronics,1,24.99
2078,2023-03-09,Stapler,Stationery,1,5.50
2079,2023-03-10,Headphones,Electronics,1,39.99
2080,2023-03-10,Tea,Pantry,4,2.10
2081,2023-03-11,Notebook,Stationery,2,2.50
2082,2023-03-11,Pen,Stationery,11,0.80
2083,2023-03-12,Mouse,Electronics,1,12.99
2084,2023-03-12,USB Cable,Electronics,2,4.50
2085,2023-03-13,Coffee,Pantry,6,3.20
2086,2023-03-13,Markers,Stationery,3,1.20
2087,2023-03-14,Keyboard,Electronics,1,24.99
2088,2023-03-14,Stapler,Stationery,1,5.50
2089,2023-03-15,Headphones,Electronics,1,39.99
2090,2023-03-15,Tea,Pantry,5,2.10
2091,2023-04-01,Notebook,Stationery,3,2.50
2092,2023-04-01,Pen,Stationery,9,0.80
2093,2023-04-02,Mouse,Electronics,1,12.99
2094,2023-04-02,USB Cable,Electronics,2,4.50
2095,2023-04-03,Coffee,Pantry,5,3.20
2096,2023-04-03,Markers,Stationery,4,1.20
2097,2023-04-04,Keyboard,Electronics,1,24.99
2098,2023-04-04,Stapler,Stationery,1,5.50
2099,2023-04-05,Headphones,Electronics,1,39.99
2100,2023-04-05,Tea,Pantry,7,2.10
2101,2023-04-06,Notebook,Stationery,2,2.50
2102,2023-04-06,Pen,Stationery,10,0.80
2103,2023-04-07,Mouse,Electronics,2,12.99
2104,2023-04-07,USB Cable,Electronics,1,4.50
2105,2023-04-08,Coffee,Pantry,3,3.20
2106,2023-04-08,Markers,Stationery,6,1.20
2107,2023-04-09,Keyboard,Electronics,1,24.99
2108,2023-04-09,Stapler,Stationery,2,5.50
2109,2023-04-10,Headphones,Electronics,1,39.99
2110,2023-04-10,Tea,Pantry,5,2.10
2111,2023-04-11,Notebook,Stationery,4,2.50
2112,2023-04-11,Pen,Stationery,7,0.80
2113,2023-04-12,Mouse,Electronics,1,12.99
2114,2023-04-12,USB Cable,Electronics,3,4.50
2115,2023-04-13,Coffee,Pantry,4,3.20
2116,2023-04-13,Markers,Stationery,5,1.20
2117,2023-04-14,Keyboard,Electronics,1,24.99
2118,2023-04-14,Stapler,Stationery,1,5.50
2119,2023-04-15,Headphones,Electronics,1,39.99
2120,2023-04-15,Tea,Pantry,6,2.10
2121,2023-05-01,Notebook,Stationery,5,2.50
2122,2023-05-01,Pen,Stationery,8,0.80
2123,2023-05-02,Mouse,Electronics,1,12.99
2124,2023-05-02,USB Cable,Electronics,2,4.50
2125,2023-05-03,Coffee,Pantry,6,3.20
2126,2023-05-03,Markers,Stationery,3,1.20
2127,2023-05-4,Keyboard,Electronics,1,24.99
2128,2023-05-04,Stapler,Stationery,1,5.50
2129,2023-05-05,Headphones,Electronics,1,39.99
2130,2023-05-05,Tea,Pantry,5,2.10
2131,2023-05-06,Notebook,Stationery,3,2.50
2132,2023-05-06,Pen,Stationery,12,0.80
2133,2023-05-07,Mouse,Electronics,1,12.99
2134,2023-05-07,USB Cable,Electronics,2,4.50
2135,2023-05-08,Coffee,Pantry,4,3.20
2136,2023-05-08,Markers,Stationery,6,1.20
2137,2023-05-09,Keyboard,Electronics,1,24.99
2138,2023-05-09,Stapler,Stationery,2,5.50
2139,2023-05-10,Headphones,Electronics,1,39.99
2140,2023-05-10,Tea,Pantry,7,2.10
2141,2023-05-11,Notebook,Stationery,2,2.50
2142,2023-05-11,Pen,Stationery,9,0.80
2143,2023-05-12,Mouse,Electronics,2,12.99
2144,2023-05-12,USB Cable,Electronics,1,4.50
2145,2023-05-13,Coffee,Pantry,5,3.20
2146,2023-05-13,Markers,Stationery,2,1.20
2147,2023-05-14,Keyboard,Electronics,1,24.99
2148,2023-05-14,Stapler,Stationery,1,5.50
2149,2023-05-15,Headphones,Electronics,1,39.99
2150,2023-05-15,Tea,Pantry,4,2.10
2151,2023-06-01,Notebook,Stationery,3,2.50
2152,2023-06-01,Pen,Stationery,10,0.80
2153,2023-06-02,Mouse,Electronics,1,12.99
2154,2023-06-02,USB Cable,Electronics,2,4.50
2155,2023-06-03,Coffee,Pantry,4,3.20
2156,2023-06-03,Markers,Stationery,5,1.20
2157,2023-06-04,Keyboard,Electronics,1,24.99
2158,2023-06-04,Stapler,Stationery,1,5.50
2159,2023-06-05,Headphones,Electronics,1,39.99
2160,2023-06-05,Tea,Pantry,6,2.10
2161,2023-06-06,Notebook,Stationery,4,2.50
2162,2023-06-06,Pen,Stationery,7,0.80
2163,2023-06-07,Mouse,Electronics,2,12.99
2164,2023-06-07,USB Cable,Electronics,2,4.50
2165,2023-06-08,Coffee,Pantry,6,3.20
2166,2023-06-08,Markers,Stationery,3,1.20
2167,2023-06-09,Keyboard,Electronics,1,24.99
2168,2023-06-09,Stapler,Stationery,2,5.50
2169,2023-06-10,Headphones,Electronics,1,39.99
2170,2023-06-10,Tea,Pantry,5,2.10
2171,2023-06-11,Notebook,Stationery,2,2.50
2172,2023-06-11,Pen,Stationery,11,0.80
2173,2023-06-12,Mouse,Electronics,1,12.99
2174,2023-06-12,USB Cable,Electronics,1,4.50
2175,2023-06-13,Coffee,Pantry,5,3.20
2176,2023-06-13,Markers,Stationery,6,1.20
2177,2023-06-14,Keyboard,Electronics,1,24.99
2178,2023-06-14,Stapler,Stationery,1,5.50
2179,2023-06-15,Headphones,Electronics,1,39.99
2180,2023-06-15,Tea,Pantry,4,2.10
2181,2023-07-01,Notebook,Stationery,3,2.50
2182,2023-07-01,Pen,Stationery,9,0.80
2183,2023-07-02,Mouse,Electronics,1,12.99
2184,2023-07-02,USB Cable,Electronics,2,4.50
2185,2023-07-03,Coffee,Pantry,4,3.20
2186,2023-07-03,Markers,Stationery,4,1.20
2187,2023-07-04,Keyboard,Electronics,1,24.99
2188,2023-07-04,Stapler,Stationery,1,5.50
2189,2023-07-05,Headphones,Electronics,1,39.99
2190,2023-07-05,Tea,Pantry,6,2.10
2191,2023-07-06,Notebook,Stationery,2,2.50
2192,2023-07-06,Pen,Stationery,10,0.80
2193,2023-07-07,Mouse,Electronics,2,12.99
2194,2023-07-07,USB Cable,Electronics,1,4.50
2195,2023-07-08,Coffee,Pantry,3,3.20
2196,2023-07-08,Markers,Stationery,5,1.20
2197,2023-07-09,Keyboard,Electronics,1,24.99
2198,2023-07-09,Stapler,Stationery,2,5.50
2199,2023-07-10,Headphones,Electronics,1,39.99
2200,2023-07-10,Tea,Pantry,5,2.10
